Characteristic,Total PEH Cases (%),HMIS Match (%),QI Logs (%),Case Interviews (%),Hospital Admissions Dataset (%),PEH Providers (%),Unknown (%)
Total,10586,26.5,17.7,7.1,5.4,34.6,8.8
Housing Status,,,,,,,
Sheltered,6187,54.1,55.9,53.5,25,71.1,51.5
Unsheltered,2701,18.5,40.2,39.9,31.1,16.2,38.9
Unknown,1698,27.4,3.9,6.5,44,12.8,9.6
Age Group,,,,,,,
Under 18,717,7.2,6.3,10.4,,7.4,5
18-24,861,9,8.5,8.8,4.4,7.8,8.1
25-29,1045,10,10.4,12.1,7.7,9.7,8.5
30-39,2179,21.8,21,22.3,16.6,19.5,21.1
40-49,1813,17,21,18.6,20.1,17.1,19.1
50-59,2130,19.4,20.2,16.8,23.4,20.2,22.5
60-64,906,7.6,8.8,6.4,13.4,8.7,8.8
65+,931,7.9,9.9,4.5,14,9.5,6.8
Race/Ethnicity,,,,,,,
American Indian/Alaska Native,75,0.6,0.9,,,0.8,0.6
Asian,148,1.3,1.1,2.4,1.7,1.3,1.5
Black or African American,3023,33.3,28.3,23.8,22.9,28.4,22.7
Hispanic/Latinx,4367,42.7,39.6,57,42.9,34.7,52.5
Native Hawaiian or Pacific Islander,39,0.2,0.5,,,0.4,
White,1833,18.5,19,10.8,18.5,17.8,13.3
Two or More Races,430,1.9,4.1,3.1,8.6,5.8,1.4
Unknown,671,1.5,6.6,2,5.1,10.7,7.6
Sex/Gender,,,,,,,
Male,6913,62.6,63.7,58.5,78.2,67,67.7
Female,3559,36.7,34.9,40.7,21.1,31.8,30.9
Transgender Male,11,,,,,,
Transgender Female,51,0.4,0.4,,,0.5,1.2
Gender Nonbinary,9,,,,,,
Unknown,43,,0.6,,,0.7,
Outbreak Association,,,,,,,
Yes,4433,27.3,39.6,9.1,10.8,64.3,47.8
COVID-19 Deaths,,,,,,,
Deaths,275,2,1.3,0.8,7.5,3,3.8
